"Gene","Category","Mean_Bx2","Mean_Bx4","Log2FC","Log2FC_clamped"
"STAT1","Primary Response
(STAT1/GAS targets)",0.477,0.202,-1.237195035619,-1.237195035619
"CIITA","Primary Response
(STAT1/GAS targets)",0.065,0.063,-0.0436921818983321,-0.0436921818983321
"HLA-DRA","MHC-II
(Type II dominant)",0.115,0.103,-0.155310170089581,-0.155310170089581
"HLA-DRB1","MHC-II
(Type II dominant)",0.144,0.142,-0.0215502711522533,-0.0215502711522533
"HLA-DPA1","MHC-II
(Type II dominant)",0.159,0.158,-0.00635215003912628,-0.00635215003912628
"HLA-DPB1","MHC-II
(Type II dominant)",0.065,0.069,0.080865758126463,0.080865758126463
"HLA-DQA1","MHC-II
(Type II dominant)",0.074,0.089,0.256500664826415,0.256500664826415
"HLA-DQB1","MHC-II
(Type II dominant)",0.14,0.11,-0.34547752375632,-0.34547752375632
"HLA-A","MHC-I
(dual pathway)",2.786,0.715,-1.96081440001912,-1.96081440001912
"HLA-B","MHC-I
(dual pathway)",1.51,0.384,-1.97168036420611,-1.97168036420611
"HLA-C","MHC-I
(dual pathway)",3.06,0.673,-2.18251911917576,-2.18251911917576
"B2M","MHC-I
(dual pathway)",4.575,1.078,-2.08465157716561,-2.08465157716561
"TAP1","MHC-I
(dual pathway)",0.178,0.148,-0.263306472193815,-0.263306472193815
"TAP2","MHC-I
(dual pathway)",0.136,0.104,-0.385435455849545,-0.385435455849545
"CXCL9","Chemokines",0.121,0.151,0.318079069770933,0.318079069770933
"CXCL10","Chemokines",0.131,0.154,0.240067477349153,0.240067477349153
"CCL2","Chemokines",0.118,0.101,-0.221237823587932,-0.221237823587932
"CCL5","Chemokines",0.104,0.124,0.256180427115828,0.256180427115828
"CD274","Immune Checkpoint
/ Immunosuppressive",0.122,0.139,0.18896609907042,0.18896609907042
"IDO1","Immune Checkpoint
/ Immunosuppressive",0.142,0.159,0.16139745025508,0.16139745025508
"FAS","Apoptosis /
Growth Control",0.101,0.129,0.353956591992586,0.353956591992586
"TNFSF10","Apoptosis /
Growth Control",0.669,0.21,-1.66345094302891,-1.66345094302891
"CDKN1A","Apoptosis /
Growth Control",0.246,0.185,-0.410533059040099,-0.410533059040099
"ICAM1","Cell Adhesion /
Trafficking",0.208,0.124,-0.741441710234103,-0.741441710234103
"VCAM1","Cell Adhesion /
Trafficking",0.083,0.102,0.288526079317539,0.288526079317539
